// Current Version: 6.7.0	en-US	ko-KR	ja-JP	zh-CN
// UNIT	// Units	//	//	//
UNIT_PT	{0}pt	{0}pt	{0}pt	
UNIT_COUNT	{0}	{0}개	{0}個	
UNIT_STAR	{0} star	{0}성	{0}星	
UNIT_STAR_SHORT	{0}★	{0}★	{0}★	
UNIT_CELL	{0} tile	{0}칸	{0}マス	
UNIT_CELLTYPE	{0} type {1}	{0}칸 {1}형	{0}マス {1}型	
UNIT_LEVEL	Level {0}	{0}강	{0}強化	
// CHIP	// Chip attributes	//	//	//
CHIP_COLOR_ORANGE	Orange	주황	オレンジ	
CHIP_COLOR_BLUE	Blue	파랑	青	
CHIP_STAT_DMG	Le	살상	殺傷	
CHIP_STAT_BRK	Pi	파쇄	破砕	
CHIP_STAT_HIT	Pr	정밀	精密	
CHIP_STAT_RLD	Re	장전	装填	
CHIP_STAT_DMG_LONG	Lethality	살상력	殺傷	
CHIP_STAT_BRK_LONG	Pierce	파쇄력	破砕	
CHIP_STAT_HIT_LONG	Precision	정밀성	精密	
CHIP_STAT_RLD_LONG	Reload	장전	装填	
CHIP_COLOR	Color	색상	色	
CHIP_STAR	Rarity	레어도	レア度	
CHIP_TAG	Tag	태그	タグ	
CHIP_MARK	Mark	마킹	マーキング	
CHIP_PT	Point	포인트	ポイント	
CHIP_TICKET	Ticket	교정권	較正チケット	
CHIP_XP	XP Needed	필요 강화치	強化経験値	
CHIP_LEVEL	Level	강화	強化	
// ACTION	// Action buttons	//	//	//
ACTION_OK	OK	확인	OK	
ACTION_CANCEL	Cancel	취소	キャンセル	
ACTION_APPLY	Apply	적용	適用	
ACTION_CLOSE	Close	닫기	閉じる	
ACTION_ADD	Add	추가	追加	
ACTION_DEL	Delete	삭제	削除	
// NEWVER	// New version dialog window	//	//	//
NEWVER_CONFIRM_TITLE	New Version Available	새 버전	新バージョン	
NEWVER_CONFIRM_BODY	Version {0} is available. Would you like to download the new version?	{0} 버전이 있습니다. 다운로드 하시겠습니까?	{0}バージョンがあります ダウンロードしますか?	
NEWVER_ERROR_TITLE	Web Browser Error	웹브라우저를 열 수 없음	ウェブブラウザが開かれません	
NEWVER_ERROR_BODY	An error occurred while opening the web browser.	에러가 발생하여 웹브라우저를 열 수 없습니다.	エラーか発生しておりウェブブラウザが開けられません	
// TIP	// Tool tip texts	//	//	//
TIP_DISPLAY	Language, font, and color settings	언어/글꼴/색상 설정	言語/フォント/色 設定	
TIP_HELP	Help (F1)	도움말 (F1)	ヘルプ (F1)	
TIP_IMAGE	Scan an image to load Chips	이미지를 스캔하여 칩셋 정보를 불러옵니다	イメージをスキャンしてチップセットデータを抽出します	
TIP_PROXY	Extract Chip data with a proxy server	프록시로 칩셋 데이터를 추출합니다	プロキシでチップセットデータを抽出します	
TIP_POOL	Chip Pool	칩 모양 리스트	チップの形のリスト	
TIP_POOL_ROTATE_LEFT	Rotate pool counter-clockwise (< or [)	모양 시계반대방향으로 회전 (< 또는 [)	形 反時計回りに回転 (< または [)	
TIP_POOL_ROTATE_RIGHT	Rotate pool clockwise (> or ])	모양 시계방향으로 회전 (> 또는 ])	形 時計回りに回転 (> または ])	
TIP_POOL_SORT_ORDER	Reverse pool order (R)	모양 정렬 순서 (R)	形 ソート順 (R)	
TIP_POOL_STAR	Pool rarity	레어도	レア度	
TIP_POOL_COLOR	Change pool color (C)	모양 색상 변경 (C)	形 色変更 (C)	
TIP_POOLWINDOW	Hide/Show left panel	좌측 패널 숨기기/보이기	左パネル 非表示/表示	
TIP_ADD	Add to inventory (Space)	인벤토리에 추가 (Space)	インベントリーに追加 (Space)	
TIP_INV	Chip Inventory List	칩 인벤토리 리스트	チップインベントリーリスト	
TIP_INV_NEW	New inventory (Ctrl+N)	새 인벤토리 (Ctrl+N)	新しいインベントリー (Ctrl+N)	
TIP_INV_OPEN	Open inventory (Ctrl+O)	인벤토리 열기 (Ctrl+O)	インベントリー読み込み (Ctrl+O)	
TIP_INV_SAVE	Save inventory (Ctrl+S)	인벤토리 저장 (Ctrl+S)	インベントリー保存 (Ctrl+S)	
TIP_INV_SAVEAS	Save inventory as (Ctrl+Shift+S)	다른 이름으로 저장 (Ctrl+Shift+S)	別の名前で保存 (Ctrl+Shift+S)	
TIP_INV_SORT_ORDER	Reverse inventory order (R)	인벤토리 정렬 순서 (R)	インベントリーソート順 (R)	
TIP_INV_SORT_TYPE	Set inventory sorting order	인벤토리 정렬 방식	インベントリーソート方式	
TIP_INV_FILTER	Filter (Ctrl+F)	필터 (Ctrl+F)	フィルタ (Ctrl+F)	
TIP_INV_STAT	Show as stats/Points (Ctrl+D)	스텟/포인트 표시 (Ctrl+D)	ステータス/ポイント表示切り替え (Ctrl+D)	
TIP_INV_APPLY	Apply all (A)	모두 적용 (A)	全て適用 (A)	
TIP_INV_STAR	Change selected Chip rarity	레어도	レア度	
TIP_INV_COLOR	Change selected Chip color (C)	칩 색상 변경 (C)	チップ色変更 (C)	
TIP_INV_ENHANCEMENT	Change selected Chip enhancement level (-,+)	강화 레벨 (-,+)	強化レベル (-,+)	
TIP_INV_ROTATE_LEFT	Rotate selected Chips counter-clockwise (< or [)	칩 시계반대방향으로 회전 (< 또는 [)	チップ反時計回りに回転 (< または [)	
TIP_INV_ROTATE_RIGHT	Rotate selected Chips clockwise (> or ])	칩 시계방향으로 회전 (> 또는 ])	チップ時計回りに回転 (> または ])	
TIP_INV_DELETE	Delete selected Chips (Delete)	칩 지우기 (Delete)	チップ消し (Delete)	
TIP_INV_MARK	Mark selected Chip (M)	마킹 (M)	マーキング (M)	
TIP_INV_TAG	Manage tags (T)	태그 설정 (T)	タグ設定 (T)	
TIP_BOARD_NAME	HOC (C)	화력소대 (C)	火力小隊 (C)	
TIP_BOARD_STAR	HOC grade	등급	グレード	
TIP_RESEARCH_OLD	Application update required to join the research	업데이트하셔야 연구에 참여하실 수 있습니다	リサーチに参加するにはアップデートが必要です	
TIP_COMB_LIST	Calculation Result List	조합 리스트	組み合わせリスト	
TIP_COMB_CHIPLIST	Calculation Result Chip List	조합 칩 리스트	組み合わせチップリスト	
TIP_COMB_SETTING	Calculation settings (Ctrl+E)	조합 설정 (Ctrl+E)	組み合わせ設定 (Ctrl+E)	
TIP_COMB_SHOWPROGIMAGE	Show/Hide calculation process	조합중 이미지 표시/숨기기	組み合わせ中にイメージ表示/非常示	
TIP_COMB_START	Calculate (F5)	조합 (F5)	組み合わせ開始 (F5)	
TIP_COMB_STAT	Stat Details	스텟 세부정보	ステータス詳細	
TIP_COMB_OPEN	Open results	결과 열기	結果読み込み…	
TIP_COMB_SAVE	Save results	결과 저장	結果保存…	
TIP_COMB_MARK	Mark Chips (M)	마킹 (M)	マーキング (M)	
TIP_COMB_TAG	Manage tags (T)	태그 설정 (T)	タグ設定 (T)	
// HELP	// Help window	//	//	//
HELP_TITLE	Help	도움말	ヘルプ	
HELP_CHIP	Chip	칩셋 도움말	チップセットについて	
HELP_CHIP_INFO_POINT_TITLE	Point	포인트	ポイント	
HELP_CHIP_INFO_POINT_BODY	Each Chip has hidden attributes called <b>Points</b>.<br>Each Chip has number of Points equal to the number of tiles.<br>Stat value for each Point is constant and is different for each stat type. (See below)	각 칩에는 <b>포인트(pt)</b>라고 불리는 숨겨진 스텟이 있다.<br>칩이 가질 수 있는 총 포인트 수는 칸 수와 같다.<br>포인트당 스텟 배율은 고정이며 스텟 종류에 따라 다르다. (하단 참고)	それぞれのチップには<b>ポイント(pt)</b>と呼ばれる隠しステータスがある<br>チップが持てられる総ポイントの数はチップのマスと同じである<br>ポイント当たりのステータスの倍率は固定でありステータスの種類によって違う(下参考)	
HELP_CHIP_INFO_EFFICIENCY_TITLE	Efficiency	효율	効率	
HELP_CHIP_INFO_EFFICIENCY_BODY	Stat efficiency is determined by the rarity and the number of tiles.<br>On exception, <b>5-tile Chips</b> have two types: <b>Type A</b> and <b>Type B</b>.<br>Generally, <b>Type B</b> Chips are more complex in shape than <b>Type A</b> Chips, but there is no specific rule for dividing the two. (See right)<br><b>5-tile (Type B)</b> and <b>6-tile</b> Chips have maximum efficiency per tile. (See below)	스텟 효율은 레어도와 칸 수에 따라 달라진다.<br>예외로 <b>5칸</b> 칩의 경우 <b>A형</b>과 <b>B형</b> 두 가지로 나뉜다.<br>보통 <b>5칸 B형</b> 칩 모양이 <b>5칸 A형</b> 칩 모양보다 더 복잡하지만 어떤 룰에 의해 나눠진게 아니다. (우측 참고)<br><b>5칸 B형</b> 칩과 <b>6칸</b> 칩은 칸 수 기준 최대 효율을 낸다. (하단 참고)	ステータス効率は星の個数とマスの数によって変わる<br>例外に <b>5マス</b>チップの場合 <b>A型</b>と<b>B型</b> 二つに分かれる<br>一般的に <b>5マス B型</b>チップの形が <b>5マス A型</b>チップの形より複雑だがとあるルールとかで分けられた訳ではない(右参考)<br><b>5マス B型</b>チップと<b>6マス</b>チップはマス数基準で最大効率を出す(下参考)	
HELP_CHIP_INFO_COLOR_TITLE	Color and Same Color Bonus	색상과 공명	色と共鳴	
HELP_CHIP_INFO_COLOR_BODY	Same Color Bonus is given if the Chip color and the circuit color matches.<br>The bonuses are added based on the number of tiles filled with Chips with the same color. (See below)<br>The bonus stats do not count towards the stat capacity.	칩의 색과 보드의 색이 같을 경우 공명 보상을 얻을 수 있다.<br>공명 보상은 같은 색 칩들의 총 칸 수를 기준으로 구간마다 스텟을 추가한다. (하단 참고)<br>이 스텟은 스텟 최대치와 별개로 추가된다.	チップの色とボードの色が同じ場合共鳴補償が得られる<br>共鳴補償は同じ色のチップの総マス数を基準にしてセクター当たりにステータスが追加される(下参考)<br>このステータスはステータスの最大値とは別で追加される	
HELP_CHIP_INFO_CALC_TITLE	Calculation	스텟 계산	ステータス計算	
