6R,6R,5Fm,5Fm,5Y,5I;2,0,2,0,3,1;1.5,4.3,2.3,3.6,1.1,2.1
6R,6R,5Fm,5F,5L,5L;2,1,0,0,1,0;1.5,2.2,3.6,4.2,1.1,3.1
6R,6R,5Fm,5T,5Ym,5I;2,0,0,1,1,1;1.5,4.3,3.6,2.2,1.1,2.1
6R,6R,5Fm,5Y,5Ym,5N;1,0,0,3,0,2;1.1,4.3,2.5,1.3,3.1,2.6
6R,6R,5Fm,5Y,5Ym,5Nm;1,0,0,3,0,1;1.1,4.3,3.6,1.3,3.1,2.5
6R,6R,5Fm,5Y,5N,5L;1,1,0,3,2,0;1.1,4.2,2.5,1.3,2.6,3.1
6R,6R,5Fm,5Y,5Nm,5L;2,0,0,3,1,0;1.5,2.3,3.6,1.1,5.3,2.1
6R,6R,5Fm,5Y,5I,5Pm;2,0,0,3,1,1;1.5,2.3,3.6,1.1,2.1,5.2
6R,6R,5Fm,5Ym,5Ym,5N;2,0,0,1,0,3;1.5,4.3,3.6,1.1,3.1,2.1
6R,6R,5Fm,5Ym,5N,5L;2,1,0,1,3,0;1.5,4.2,3.6,1.1,2.1,3.1
6R,6R,5Fm,5Ym,5Lm,5Pm;1,0,0,0,3,3;1.1,4.3,3.6,3.1,1.3,2.4
6R,6R,5Fm,5Ym,5L,5P;2,0,0,0,1,1;1.5,4.3,3.6,3.1,1.1,2.2
6R,6R,5Fm,5Ym,5L,5Pm;2,1,0,0,1,1;1.5,2.2,3.6,3.1,1.1,5.2
6R,6R,5Fm,5Ym,5C,5P;1,0,0,0,1,2;1.1,4.3,3.6,3.1,1.3,1.5
6R,6R,5Fm,5Ym,5C,5Pm;2,0,0,0,3,2;1.5,4.3,3.6,3.1,1.3,1.1
6R,6R,5Fm,5N,5V,5Pm;1,0,0,0,1,2;3.4,4.3,1.4,3.2,1.1,1.5
6R,6R,5Fm,5N,5C,5P;2,0,0,0,3,2;1.5,4.3,3.6,3.2,1.3,1.1
6R,6R,5Fm,5Nm,5L,5Pm;2,1,0,1,1,0;1.5,2.2,3.6,5.3,1.1,3.1
6R,6R,5Fm,5Nm,5V,5Pm;0,1,0,1,1,2;3.2,3.4,1.4,5.3,1.1,1.5
6R,6R,5Fm,5Nm,5C,5P;2,0,0,1,3,2;1.5,3.2,3.6,5.3,1.3,1.1
6R,6R,5Fm,5Lm,5L,5Pm;1,1,0,3,0,3;1.1,4.2,3.6,1.3,3.1,2.4
6R,6R,5Fm,5L,5L,5P;2,1,0,1,0,1;1.5,4.2,3.6,1.1,3.1,2.2
6R,6R,5Fm,5L,5C,5I;2,0,0,2,3,1;1.5,4.3,3.6,1.1,1.3,2.1
6R,6R,5Fm,5L,5C,5P;1,1,0,0,1,2;1.1,4.2,3.6,3.1,1.3,1.5
6R,6R,5Fm,5L,5C,5Pm;2,1,0,0,3,2;1.5,4.2,3.6,3.1,1.3,1.1
6R,6R,5Fm,5C,5C,5Pm;2,2,3,3,3,2;1.3,4.3,3.4,1.1,4.1,1.5
6R,6R,5Fm,5C,5P,5Pm;3,2,3,3,3,0;1.3,3.5,4.2,1.1,1.4,4.1
6R,6R,5Fm,5C,5Pm,5Pm;2,1,3,3,2,0;1.3,3.4,4.2,1.1,1.5,4.1
6R,6R,5F,5Ym,5N,5L;1,0,0,1,2,0;1.1,2.4,4.2,1.3,2.6,3.1
6R,6R,5F,5Ym,5N,5I;2,0,0,0,2,2;2.4,4.3,1.1,3.1,2.6,1.2
6R,6R,5F,5Ym,5Nm,5I;2,0,0,0,3,2;3.5,4.3,1.1,3.1,2.4,1.2
6R,6R,5F,5Ym,5Lm,5P;1,0,1,0,3,2;1.1,4.3,2.4,3.1,1.3,3.5
6R,6R,5F,5N,5Lm,5P;3,2,3,2,2,3;1.3,3.5,4.3,3.2,1.1,1.4
6R,6R,5F,5N,5Lm,5Pm;2,1,3,2,2,2;1.3,3.4,4.3,3.2,1.1,1.5
6R,6R,5F,5N,5L,5I;2,1,0,2,0,2;2.4,4.2,1.1,2.6,3.1,1.2
6R,6R,5F,5Nm,5Lm,5P;3,2,3,1,2,3;1.3,3.5,3.2,5.3,1.1,1.4
6R,6R,5F,5Nm,5Lm,5Pm;2,1,3,1,2,2;1.3,3.4,3.2,5.3,1.1,1.5
