6R,6R,6R,4T,4T,4Z;1,0,3,3,1,1;0.1,2.3,5.5,1.6,4.1,3.5
6R,6R,6Zm,6Z,6Z;1,3,1,1,1;0.1,5.5,2.3,1.6,3.2
6R,6R,6Z,4T,4T,4Z;1,3,1,3,1,1;0.1,5.5,3.2,1.6,2.3,3.5
6R,6R,6Z,4T,4T,4Lm;1,3,1,3,2,0;0.1,5.5,3.2,1.6,4.3,2.3
6R,6R,6Z,4T,4T,4O;2,3,1,3,3,0;3.4,5.5,3.2,1.3,1.6,0.1
6R,6R,6A,4T,4T,4Z;1,3,3,1,2,1;0.1,5.5,1.6,4.1,4.3,2.3
6R,6R,5Fm,5Fm,4T,4T;1,3,2,0,3,1;0.1,5.5,2.3,3.5,1.6,4.1
6R,6R,5Fm,5P,4T,4T;1,3,2,0,1,2;0.1,5.5,2.3,1.6,4.1,4.3
6R,6R,5X,5P,4T,4Z;1,3,0,2,3,1;0.1,5.5,2.3,4.1,1.6,3.5
6R,6R,5Ym,5Ym,4T,4T;1,3,3,1,3,1;0.1,5.5,2.3,4.2,1.6,4.1
6R,6R,5Ym,5P,4T,4T;1,3,3,2,3,2;0.1,5.5,2.3,4.1,1.6,4.3
6R,6R,5N,5P,4T,4O;1,3,2,2,3,0;0.1,2.3,3.5,4.1,1.6,6.5
6R,6R,5N,5Pm,4T,4T;1,0,0,0,3,1;0.1,2.3,3.5,5.5,1.6,4.1
6R,6R,5Zm,5Zm,4T,4T;1,3,2,2,3,1;0.1,5.5,2.3,3.2,1.6,4.1
6R,6R,5P,5P,4T,4T;1,3,0,2,0,2;0.1,5.5,1.6,4.1,2.3,4.3
6R,6R,5P,5P,4T,4Z;1,3,1,2,3,1;2.2,5.5,0.1,4.1,1.6,3.5
6R,6R,5P,5P,4T,4Lm;1,3,2,3,3,3;0.1,2.3,4.1,6.4,1.6,3.5
6R,6R,5P,5P,4T,4O;2,3,0,2,3,0;3.4,5.5,1.3,4.1,1.6,0.1
6R,6R,5P,5P,4Z,4O;1,3,0,2,1,0;3.3,5.5,1.6,4.1,1.3,0.1
6R,6R,5P,5Pm,4T,4Lm;2,3,2,2,3,3;3.4,5.5,4.1,0.1,1.6,1.3
6R,6T,5P,5P,4T,4O;1,2,2,3,3,0;0.1,2.3,4.1,6.4,1.6,4.4
6R,6T,5P,5Pm,4T,4Z;3,1,2,2,3,1;5.5,1.3,4.1,0.1,1.6,3.5
6R,6T,5P,5Pm,4T,4Lm;1,2,2,0,3,1;0.1,2.3,4.1,5.5,1.6,4.4
6R,6Z,6Z,4T,4T,4O;1,1,1,3,1,0;0.1,3.2,3.5,1.6,2.3,6.5
6R,6Z,6A,4T,4T,4O;3,1,3,3,2,0;5.5,3.2,1.6,1.3,4.3,0.1
6R,6Z,6A,4Z,4L,4O;3,1,1,1,2,0;5.5,1.6,4.1,1.3,3.3,0.1
6R,6Z,5Fm,5Fm,4T,4O;3,1,1,0,3,0;5.5,3.2,1.3,3.5,1.6,0.1
6R,6Z,5Fm,5Zm,4T,4O;1,1,3,2,3,0;0.1,3.2,4.3,2.3,1.6,6.5
6R,6Z,5Fm,5P,4T,4Z;3,1,0,1,3,0;5.5,3.2,3.5,0.1,1.6,2.2
6R,6Z,5Fm,5P,4T,4O;3,1,1,0,2,0;5.5,3.2,1.3,1.6,4.3,0.1
6R,6Z,5Fm,5Pm,4T,4L;3,1,0,2,3,0;5.5,3.2,3.5,0.1,1.6,1.3
6R,6Z,5T,5P,4T,4O;1,1,1,3,3,0;0.1,3.2,2.3,6.4,1.6,4.4
6R,6Z,5T,5Pm,4T,4Lm;1,1,2,0,3,0;0.1,3.2,4.3,5.5,1.6,2.3
6R,6Z,5X,5P,4T,4O;1,1,0,2,3,0;0.1,3.5,2.3,4.1,1.6,6.5
6R,6Z,5Y,5P,4T,4O;3,1,0,2,3,0;5.5,3.2,1.3,3.4,1.6,0.1
6R,6Z,5Y,5Pm,4T,4Z;3,1,2,2,3,1;5.5,3.2,1.3,0.1,1.6,3.5
6R,6Z,5N,5P,4T,4T;3,1,3,1,3,2;5.5,3.2,2.2,0.1,1.6,4.3
6R,6Z,5N,5Pm,4T,4T;1,1,0,0,3,1;0.1,3.2,3.5,5.5,1.6,2.3
6R,6Z,5N,5Pm,4T,4O;1,1,2,0,3,0;0.1,3.2,3.5,2.3,1.6,6.5
6R,6Z,5Nm,5P,4T,4L;1,1,2,3,3,2;0.1,3.2,2.3,6.4,1.6,3.4
6R,6Z,5V,5Pm,4T,4T;3,1,0,2,3,2;5.5,3.2,1.3,0.1,1.6,4.3
6R,6Z,5Zm,5P,4T,4Z;1,1,2,3,3,0;0.1,3.2,2.3,6.4,1.6,4.3
6R,6Z,5Zm,5Pm,4T,4L;1,1,2,0,3,2;0.1,3.2,2.3,5.5,1.6,4.3
