6R,6R,6R,6R,6Z,5N;1,2,2,3,1,0;0.1,1.6,3.4,5.5,4.1,2.3
6R,6R,6R,6R,6A,5N;1,2,0,0,0,0;0.1,1.6,2.3,4.1,5.5,3.5
6R,6R,6R,6R,6A,5W;1,0,0,3,3,0;0.1,2.3,4.1,5.5,0.7,3.5
6R,6R,6R,6Z,6Z,5Ym;2,2,3,0,1,0;1.6,3.4,5.5,0.0,4.1,2.2
6R,6R,6R,6Z,6Z,5N;1,2,2,1,0,0;0.1,1.6,3.4,4.1,6.4,2.3
6R,6R,6R,6Z,6A,5F;1,0,0,0,3,1;0.1,2.3,4.1,6.4,0.7,3.5
6R,6R,6R,6Z,6A,5N;2,2,3,1,2,0;1.6,3.4,5.5,4.1,0.0,2.3
6R,6R,6R,6Z,6A,5W;1,0,3,1,3,0;0.1,2.3,5.5,4.1,0.7,3.5
6R,6R,6R,6A,6A,5N;1,2,0,1,0,0;0.1,1.6,2.3,5.0,5.5,3.5
6R,6R,6R,6A,6A,5W;1,0,3,3,1,0;0.1,2.3,5.5,0.7,5.0,3.5
6R,6R,6C,6Z,6Z,5Ym;0,3,0,0,1,1;4.1,5.5,2.2,0.0,0.7,4.2
6R,6R,6T,6Z,6A,5N;1,2,3,1,0,0;0.1,1.6,3.4,4.1,5.5,2.3
6R,6R,6T,6A,6A,5N;2,2,1,2,0,0;1.6,4.1,1.3,0.0,5.5,3.5
6R,6R,6T,6A,6A,5W;2,3,1,2,3,0;4.1,5.5,1.3,0.0,0.7,3.5
6R,6R,6Y,6Z,6Z,5N;1,2,3,1,0,0;0.1,1.6,3.4,4.1,6.4,2.3
6R,6R,6Y,6Z,6A,5N;2,0,1,0,0,0;1.6,4.1,2.2,0.0,5.5,3.5
6R,6R,6Y,6Z,6A,5W;0,3,1,0,3,0;4.1,5.5,2.2,0.0,0.7,3.5
6R,6R,6Zm,6Z,6A,5N;1,1,0,1,3,0;0.1,5.4,3.4,4.1,0.7,2.3
6R,6R,6Zm,6A,6A,5N;1,2,0,1,0,0;0.1,1.6,3.2,5.0,5.5,3.5
6R,6R,6Zm,6A,6A,5W;1,3,0,3,1,0;0.1,5.5,3.2,0.7,5.0,3.5
6R,6R,6Z,6Z,6Z,6Z;1,3,1,1,1,1;0.1,5.5,0.7,2.3,2.5,4.1
6R,6R,6Z,6Z,6Z,6O;0,3,0,1,1,0;4.1,5.5,0.0,0.7,2.5,2.2
6R,6R,6Z,6Z,6Z,5Ym;2,2,0,1,0,0;1.6,3.4,0.0,4.1,6.4,2.2
6R,6R,6Z,6Z,6Z,5N;1,3,1,1,1,0;0.1,5.5,2.3,2.5,4.1,0.7
6R,6R,6Z,6Z,6A,6A;1,3,1,1,3,1;0.1,5.5,0.7,2.5,2.3,5.0
6R,6R,6Z,6Z,6A,5F;1,0,1,0,3,1;0.1,2.3,4.1,6.4,0.7,3.5
6R,6R,6Z,6Z,6A,5Ym;2,3,0,1,3,0;3.4,5.5,0.0,4.1,0.7,2.2
6R,6R,6Z,6Z,6A,5N;2,2,1,0,2,0;1.6,3.4,4.1,6.4,0.0,2.3
6R,6R,6Z,6Z,6A,5W;1,3,1,1,3,0;0.1,5.5,2.3,4.1,0.7,3.5
6R,6R,6Z,6Z,6O,6O;2,0,0,0,0,0;1.6,4.1,0.0,6.4,2.2,3.4
6R,6R,6Z,6Z,6O,5N;0,3,0,1,0,0;4.1,5.5,0.0,2.5,2.2,0.7
6R,6R,6Z,6A,6A,6O;1,2,0,3,1,0;0.1,1.6,6.4,2.3,5.0,3.4
6R,6R,6Z,6A,6A,5F;1,0,0,3,1,1;0.1,2.3,6.4,0.7,5.0,3.5
6R,6R,6Z,6A,6A,5N;1,3,1,3,1,0;0.1,5.5,2.5,2.3,5.0,0.7
6R,6R,6Z,6A,6A,5W;1,0,0,3,1,0;0.1,2.3,6.4,0.7,5.0,3.5
6R,6R,6Z,6A,6O,5Ym;2,0,0,0,0,0;1.6,4.1,0.0,5.5,2.2,3.4
6R,6R,6Z,6A,6O,5N;2,0,0,0,0,0;1.6,4.1,0.0,5.5,2.2,3.5
6R,6R,6Z,6A,6O,5W;0,3,0,3,0,0;4.1,5.5,0.0,0.7,2.2,3.5
6R,6R,6Z,6O,6O,5N;2,0,0,0,0,1;1.6,4.1,6.4,2.2,3.4,0.0
