30,30,30,30;1,1,1,1;2.1,2.4,4.1,4.4;1
30,30,30,37;0,0,0,2;3.1,3.3,3.5,2.1;1
30,30,31,31;1,1,1,3;2.4,4.4,2.1,3.3;0
30,30,32,38;1,1,3,1;2.4,4.4,2.3,2.1;1
30,30,37,37;1,1,2,2;4.1,4.4,2.1,3.1;1
30,31,31,37;0,1,3,2;2.5,2.1,2.4,5.1;0
30,32,37,38;0,0,2,2;2.5,3.2,5.1,2.1;0
31,31,31,31;1,1,3,3;2.1,2.4,3.3,3.6;1
31,31,32,37;1,2,0,2;2.1,2.4,3.3,5.1;1
31,31,32,38;1,3,3,1;2.1,3.3,2.6,2.4;0
31,31,33,33;2,0,0,0;2.4,3.1,2.1,4.3;1
31,31,34,34;1,3,0,0;2.1,3.6,2.4,4.2;1
31,32,38,39;1,0,3,3;2.1,4.2,2.5,2.4;0
32,32,32,32;1,2,3,0;2.1,2.2,2.6,4.3;1
32,32,38,38;3,3,1,1;2.3,2.6,2.1,2.4;1
32,33,34,38;3,0,0,1;2.6,4.2,2.3,2.1;1
37,37,37,37;2,2,2,2;2.1,3.1,4.1,5.1;1
